canonical_smiles,scaffold,class_bin,pIC50_true,pred_pIC50
COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,O=C1NC(CC[NH2+]C2(c3ccccc3)CC2)Cc2cccc(c2)OCCCCNc2cccc1c2,1,7.7695513,8.137777328491211
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1cccc(-c3nccs3)c1)NC(=O)C1CCCO1)CC1(CCC1)O2,O=C(NC(CC[NH2+]C1CC2(CCC2)Oc2ncccc21)Cc1cccc(-c2nccs2)c1)C1CCCO1,1,8.2006598,8.104681015014648
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1cccc(-c3nccs3)c1)NC(=O)[C@@H]1CCCO1)CC1(CCC1)O2,O=C(NC(CC[NH2+]C1CC2(CCC2)Oc2ncccc21)Cc1cccc(-c2nccs2)c1)C1CCCO1,1,8.036212,8.104681015014648
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)C1CCCO1)CC1(CCC1)O2,O=C(NC(CC[NH2+]C1CC2(CCC2)Oc2ncccc21)Cc1ccc2c(c1)OCO2)C1CCCO1,1,7.6903696,8.07255744934082
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(C(=O)[O-])ccc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,1,7.154902,8.051795959472656
CC(=O)NC(Cc1ccc(F)cc1F)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.1870871,8.042806625366211
CC(=O)NC(Cc1ccc(F)c(C#N)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.6197891,8.004644393920898
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)[NH+]=C(N)c4c(F)cccc43)c2)c1,O=c1ccc(C2(c3cccc(-c4cccnc4)c3)[NH+]=Cc3ccccc32)c[nH]1,1,8.6126099,7.973952293395996
CC(C)c1cccc(C[NH2+]CC(O)C2COCCCCCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,O=C1NCCCCCCOCC(CC[NH2+]Cc2ccccc2)NC(=O)c2cccc1c2,1,7.7447276,7.954052448272705
CC(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.431798,7.941781997680664
COCC(=O)NC(Cc1ccc(F)c(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.2146702,7.938355922698975
CC(F)C(=O)NC(Cc1ccc2c(c1)OCO2)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cnc2c(c1)C([NH2+]CCCCc1ccc3c(c1)OCO3)CC1(CCC1)O2,1,7.5391021,7.9329705238342285
CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C4CCCCC4)cc13)N(CC)S(=O)(=O)CC2,O=C(NC(CC[NH2+]C1CCCCC1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,1,8.1549015,7.9163007736206055
CC#Cc1cncc(-c2cc(Cl)c(C3(C)CC(=O)N(C)C(=[NH2+])N3)s2)c1,[NH2+]=C1NC(=O)CC(c2ccc(-c3cccnc3)s2)N1,1,8.7695513,7.9141845703125
CC(C)c1cccc(C[NH2+]CC(O)C2COCCCCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,O=C1NCCCCCOCC(CC[NH2+]Cc2ccccc2)NC(=O)c2cccc1c2,1,7.7958798,7.88985538482666
COCC1CCCN1C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CN(S(=O)(=O)c3cccc(C)c3)CC[NH2+]2)c1,O=C(NC(Cc1ccccc1)CC1CN(S(=O)(=O)c2ccccc2)CC[NH2+]1)c1cccc(C(=O)N2CCCC2)c1,1,9.0,7.882329940795898
CC(O)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.4948502,7.874934196472168
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccc(F)cc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,1,7.1804562,7.870640754699707
CCOC(C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,7.7958798,7.8697829246521
CC(=O)N[C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3C[NH2+]2)C1=O,O=C(NC(Cc1ccccc1)CC1Cc2ccccc2C[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,1,8.0969095,7.868808746337891
CC(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.2365723,7.866691589355469
CCc1ccc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCCn3cc(cc(-c4ccccn4)c3=O)C(=O)N1)CC1(CCC1)O2,O=C1NC(CC[NH2+]C2CC3(CCC3)Oc3ccccc32)Cc2cccc(c2)CCCCn2cc1cc(-c1ccccn1)c2=O,1,8.2291479,7.859951019287109
COCC(=O)NC(Cc1cccc(-c2ccccn2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(-c2cccc(CCCC[NH2+]C3CC4(CCC4)Oc4ncccc43)c2)nc1,1,8.031517,7.856637001037598
CC(=O)NC(Cc1cccc(C(F)(F)F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.6197891,7.853427410125732
COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1,1,7.7695513,7.839920520782471
CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(NC(C)=O)(C(C)CC)C2=O)C1,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,1,8.5850267,7.827651023864746
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,1,8.8538723,7.826678276062012
Cc1cc2cc(n1)OCCCCOc1cccc(c1)CC(C(O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)NC2=O,O=C1NC(CC[NH2+]C2(c3ccccc3)CC2)Cc2cccc(c2)OCCCCOc2cc1ccn2,1,7.7695513,7.823691368103027
COc1ccc(CC(NC(C)=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)cc1F,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.4436979,7.823067665100098
CCC(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,7.9586072,7.815814018249512
CC(=O)NC(Cc1ccccc1F)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.4436979,7.808241844177246
CO[C@@H](C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.1426678,7.806356430053711
CO[C@H](C)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.2596369,7.806356430053711
CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.3010302,7.804338455200195
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccccc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,1,8.1307678,7.8019843101501465
CC(=O)NC(Cc1ccc(C)c(F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,9.004365,7.798218727111816
CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,O=C(CNC(=O)c1cccnc1)NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1,1,8.6989698,7.77708625793457
COCC(=O)NC(Cc1cccc(-c2cscn2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2cscn2)c1,1,8.1611509,7.766007423400879
COCC(=O)NC(Cc1cccc(-c2ncco2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2ncco2)c1,1,8.0177288,7.7612080574035645
CCC(C)C1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC([NH3+])C[NH2+]2)C1=O,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,1,7.4685211,7.758254051208496
CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(N(c2cc(Cl)cc(Cl)c2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,O=C(C[NH2+]CCC(Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)NC1CCCCC1,1,7.9586072,7.7565412521362305
CCC(=O)N(C)C(C)(C)C1CCCC(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(C)C)c2)C1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)C1CCCCC1,0,6.8239088,7.7409210205078125
COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(N(c3ccccc3)S(C)(=O)=O)c2)c1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1,1,7.9586072,7.740149021148682
CC(=O)NC(Cc1ccc(F)c(F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.6989698,7.739755630493164
CC(=O)NC(Cc1ccc(F)c(OC(F)(F)F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.6777811,7.731777667999268
CO[C@H](C)C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cnc2c(c1)C([NH2+]CCCCc1ccc3c(c1)OCO3)CC1(CCC1)O2,1,7.7746906,7.726056098937988
CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)n1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccc2)n1,0,5.4400935,7.725722312927246
NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C3CC3)c2)c2cccc(F)c21,C1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C3CC3)c2)c2ccccc21,1,7.0634861,7.708556175231934
CC(=O)NC(Cc1ccc(OC(F)(F)F)cc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,7.8538718,7.707099914550781
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(Br)cc(C(C)(C)C)c2)CCCCC1,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCCCC2)cc1,0,6.7594509,7.7065229415893555
C#Cc1cc(F)cc(CC(NC(=O)COC)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.7212467,7.702509880065918
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(CC(C)(C)C)no2)CCCCC1,c1ccc(CCCC[NH2+]C2(c3ccno3)CCCCC2)cc1,0,6.8569851,7.70060920715332
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(C(C)=O)cc(C(C)(C)C)c2)CCCCC1,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCCCC2)cc1,0,6.7958798,7.700439929962158
COCc1cc2cc(c1)C(=O)NC(C(O)C[NH2+]C1(c3cccc(C(C)(C)C)c3)CCCC1)Cc1cccc(c1)OCCCCN2,O=C1NC(CC[NH2+]C2(c3ccccc3)CCCC2)Cc2cccc(c2)OCCCCNc2cccc1c2,1,7.3010302,7.696113586425781
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2ccc(CC(C)(C)C)s2)CC1,c1ccc(CCCC[NH2+]C2(c3cccs3)CC2)cc1,0,5.7904849,7.693286895751953
COc1cc(CC(NC(C)=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1F,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.3467875,7.692453384399414
CO/N=C(\C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1,1,8.0,7.688448905944824
COc1cncc(-c2cccc(C3(c4ccc(OC(F)F)cc4)N=C(N)N4CC(F)(F)CN=C43)c2)c1,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)C2=NCCCN12,1,7.8600001,7.688153266906738
CC(=O)NC(Cc1ccc(OC(F)F)c(OC(F)F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,7.4534574,7.683133125305176
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(Cl)ccc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,1,7.5228786,7.673282623291016
COCC(=O)NC(Cc1ccc(-c2nccs2)cc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cnc2c(c1)C([NH2+]CCCCc1ccc(-c3nccs3)cc1)CC1(CCC1)O2,1,7.5376019,7.6649861335754395
CC(=O)NC(Cc1ccc(C(F)(F)F)c(F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,7.3565474,7.659141540527344
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(C(F)(F)F)ccc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,0,6.7958798,7.654923915863037
COCc1cc2cc(c1)C(=O)NC(C(O)C[NH2+]C1(c3cccc(C(C)(C)C)c3)CCC1)Cc1cccc(c1)OCCCCN2,O=C1NC(CC[NH2+]C2(c3ccccc3)CCC2)Cc2cccc(c2)OCCCCNc2cccc1c2,1,7.1739254,7.653780460357666
CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(N(c2cccc(C#N)c2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,O=C(C[NH2+]CCC(Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)NC1CCCCC1,1,8.0969105,7.653473377227783
CCCCN(C)C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cc(C#N)ccc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,1,7.7447276,7.64341926574707
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(S(C)(=O)=O)CC1,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCCCC2)cc1,0,6.6777806,7.642742156982422
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(CC(C)(C)C)cs2)CC1,c1ccc(CCCC[NH2+]C2(c3cccs3)CC2)cc1,0,6.3279023,7.631460189819336
CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,9.0,7.627396106719971
CN1C(=O)C2(CC(C)(C)Sc3ccc(-c4cccc(C#N)c4)cc32)N=C1N,O=C1NC=NC12CCSc1ccc(-c3ccccc3)cc12,1,7.3279023,7.620208740234375
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC)CC[NH2+]2)c1,O=C(NC(Cc1ccccc1)CC1CCCC[NH2+]1)c1ccccc1,1,8.1549015,7.61719274520874
CCCC(O)C1CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,1,7.7958798,7.602853775024414
CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(-c2ccccc2)c1,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc(Nc2ccccc2)cc(-c2ccccc2)c1,1,7.8860564,7.600098609924316
COCC(=O)NC(Cc1cc(F)cc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.7212467,7.59600830078125
COCC(=O)NC(Cc1cccc(-c2cncs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2cncs2)c1,1,8.2839966,7.594846725463867
Cc1cc2cc(n1)NCCCCOc1cccc(c1)CC(C(O)C[NH2+]Cc1cccc(C(C)C)c1)NC2=O,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1ccn2,1,7.5686364,7.59468936920166
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.1611509,7.594033718109131
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccc(C#N)cc21,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccccc12,0,6.9208188,7.587820053100586
COCC(=O)NC(Cc1cccc(-c2ccncc2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2ccncc2)c1,1,7.4814858,7.58581018447876
COC(OC)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1cc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc(-c2nccs2)c1,1,8.0087738,7.5853166580200195
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(CC(C)(C)C)c[n+]([O-])c2)CC1,c1ccc(CCCC[NH2+]C2(c3ccc[nH+]c3)CC2)cc1,0,6.1426673,7.58474063873291
CC(=O)c1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,c1ccc(-c2ccc3ncccc3c2)cc1,1,7.8239088,7.583481311798096
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1cccnc1F)CC1(CCC1)O2,O=C(NC(CC[NH2+]C1CC2(CCC2)Oc2ncccc21)Cc1ccc2c(c1)OCO2)c1cccnc1,1,7.4788618,7.580883026123047
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCc2nc(C)ncc2C1,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCc3ncncc3C2)cc1,1,7.031517,7.580547332763672
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1ccc(F)nc1)CC1(CCC1)O2,O=C(NC(CC[NH2+]C1CC2(CCC2)Oc2ncccc21)Cc1ccc2c(c1)OCO2)c1cccnc1,1,7.3151546,7.579740524291992
CC(=O)NC(Cc1ccc(F)c(C)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1,1,8.3979397,7.579514503479004
O=C(C1C[NH2+]CC12CCCc1cc(Br)ccc12)N1CCC(c2ccccc2)CC1c1ccccc1,O=C(C1C[NH2+]CC12CCCc1ccccc12)N1CCC(c2ccccc2)CC1c1ccccc1,1,7.154902,7.577113151550293
